Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
Male,No,2,Not Graduate,No,4044,3227,363,360,0.0,Semiurban,N
Female,Yes,3+,Graduate,No,9368,2745,210,240,1.0,Urban,Y
Male,Yes,1,Graduate,Yes,15635,6091,380,480,1.0,Semiurban,Y
Male,No,3+,Graduate,No,11168,3866,577,360,0.0,Rural,N
Male,No,3+,Graduate,No,19111,5818,387,180,1.0,Semiurban,Y
Male,Yes,2,Graduate,No,13328,2222,655,360,0.0,Semiurban,N
Male,No,3+,Graduate,No,15319,2792,353,120,1.0,Rural,Y
Female,No,2,Graduate,No,2342,9889,552,360,1.0,Urban,Y
Male,No,0,Graduate,Yes,3447,4063,699,480,0.0,Semiurban,N
Male,No,0,Graduate,No,8581,1524,387,480,1.0,Rural,Y
Male,Yes,2,Graduate,No,13851,8224,599,360,1.0,Rural,Y
Female,Yes,0,Not Graduate,No,8317,6198,688,480,1.0,Semiurban,Y
Female,No,1,Graduate,Yes,18910,4025,324,180,1.0,Urban,Y
Male,No,3+,Graduate,No,12088,2566,213,360,1.0,Semiurban,Y
Male,Yes,1,Graduate,No,14946,2803,492,180,1.0,Urban,Y
Male,Yes,3+,Graduate,No,18789,3709,368,180,1.0,Urban,Y
Male,Yes,0,Graduate,No,16567,6155,638,240,1.0,Urban,Y
Male,No,1,Graduate,No,16868,719,553,360,1.0,Urban,Y
Male,No,0,Graduate,No,11765,6516,436,480,1.0,Semiurban,Y
Male,Yes,3+,Graduate,No,14466,4579,652,180,0.0,Rural,N
Male,Yes,2,Graduate,No,19862,972,543,240,1.0,Rural,Y
Male,Yes,2,Not Graduate,No,12587,3718,539,360,1.0,Rural,Y
Male,No,1,Not Graduate,No,2771,7395,122,360,1.0,Rural,Y
Male,No,0,Graduate,No,18300,4402,558,120,1.0,Rural,Y
Male,No,0,Graduate,No,10770,4552,439,120,1.0,Rural,Y
Male,Yes,1,Graduate,No,13093,2207,668,180,1.0,Semiurban,Y
Male,Yes,2,Graduate,No,15803,4426,344,120,1.0,Urban,Y
Male,Yes,3+,Not Graduate,No,2193,6919,418,180,0.0,Rural,N
Male,Yes,1,Graduate,No,4007,8835,598,480,1.0,Semiurban,Y
Male,No,3+,Graduate,No,19569,8386,698,180,1.0,Rural,Y
Male,No,2,Graduate,Yes,13190,8680,617,120,1.0,Rural,Y
Male,No,0,Not Graduate,No,11984,2204,236,480,0.0,Urban,Y
Male,No,2,Graduate,No,11302,5345,494,120,1.0,Urban,Y
Female,Yes,1,Graduate,No,9429,3276,619,180,1.0,Urban,Y
Female,No,0,Graduate,No,4261,1102,412,240,0.0,Rural,N
Female,No,1,Graduate,No,8716,5243,172,360,1.0,Rural,Y
Male,No,1,Graduate,No,10921,6614,237,120,1.0,Rural,Y
Male,Yes,2,Graduate,No,6378,9433,469,180,1.0,Urban,Y
Male,Yes,1,Graduate,Yes,9815,8707,675,480,1.0,Semiurban,Y
Male,Yes,2,Graduate,No,15778,5223,301,120,1.0,Rural,Y
Male,No,0,Graduate,No,14728,8584,668,120,0.0,Rural,N
Male,Yes,2,Graduate,No,12332,630,598,360,1.0,Rural,Y
